SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
1,10-Oct-12,09-Oct-13,8,1202,514828.52,10558.47,5000032278,2007,27,27,Bus,3920,HIGHER,Taxi,
1,07-Sep-11,06-Sep-12,8,1202,332000,8868.62,5000032278,2007,27,27,Bus,3920,HIGHER,Taxi,6150.19
0,08-Jul-13,07-Jul-14,11,1201,675000,9310.85,5000032323,1990,7,,Station Wagones,4169,TOYOTA,Private,
1,10-Oct-12,09-Oct-13,8,1202,514828.52,14071.29,5000032283,2007,27,27,Bus,3920,HIGHER,Taxi,
1,17-Jan-12,16-Jan-13,12,1202,0,3544.7,5000032283,2007,27,27,Bus,3920,HIGHER,Taxi,
1,07-Sep-11,06-Sep-12,8,1202,332000,7806.3,5000032283,2007,27,27,Bus,3920,HIGHER,Taxi,13900
2,31-Jul-13,30-Jul-14,8,1202,700000,18724.68,5000032331,2009,0,40000,Trailers and semitrailers,0,ZZ,General Cartage,
2,31-Jul-12,30-Jul-13,8,1202,700000,17505.69,5000032331,2009,0,40000,Trailers and semitrailers,0,ZZ,General Cartage,
2,31-Jul-11,30-Jul-12,8,1202,700000,17898.24,5000032331,2009,0,40000,Trailers and semitrailers,0,ZZ,General Cartage,
1,04-Aug-12,03-Aug-13,9,1202,1000000,29110.04,5000032421,2008,2,0,Truck,8226,ISUZU,General Cartage,
1,04-Aug-11,03-Aug-12,9,1202,1000000,23578.21,5000032421,2008,2,0,Truck,8226,ISUZU,General Cartage,
0,11-Oct-13,10-Oct-14,11,1202,700000,14379.3,5000032542,1994,2,63,Truck,8226,ISUZU FVR,Own Goods,30207
0,07-Jun-12,06-Jun-13,11,1202,600000,21038.64,5000032542,1994,2,63,Truck,8226,ISUZU FVR,Own Goods,
0,23-Jul-13,22-Jul-14,6,1202,750000,11947.74,5000032552,2008,2,70,Truck,8226,ISUZU,Own Goods,
0,23-Jul-12,22-Jul-13,6,1202,750000,12392.12,5000032552,2008,2,70,Truck,8226,ISUZU,Own Goods,
0,23-Jul-11,22-Jul-12,6,1202,750000,12892.417,5000032552,2008,2,70,Truck,8226,ISUZU,Own Goods,
2,13-Jul-13,12-Jul-14,11,1201,0,645.05,5000032295,1987,4,,Automobile,1681,NISSAN,Private,
2,13-Jul-12,12-Jul-13,11,1201,0,644.8,5000032295,1987,4,,Automobile,1681,NISSAN,Private,
2,13-Jul-11,12-Jul-12,11,1201,0,698.02,5000032295,1987,4,,Automobile,1681,NISSAN,Private,
0,23-Jul-13,22-Jul-14,6,1202,360000,4549.89,5000032553,2006,2,35,Truck,4334,ISUZU,Own Goods,
0,23-Jul-12,22-Jul-13,6,1202,360000,4520.73,5000032553,2006,2,35,Truck,4334,ISUZU,Own Goods,
0,23-Jul-11,22-Jul-12,6,1202,360000,5893.637,5000032553,2006,2,35,Truck,4334,ISUZU,Own Goods,
0,24-Jul-13,23-Jul-14,95,1202,25600,1697.69,5000032558,1988,4,7,Pick-up,3000,TOYOTA,Own Goods,17250
0,24-Jul-12,23-Jul-13,95,1202,25600,1697.69,5000032558,1988,4,7,Pick-up,3000,TOYOTA,Own Goods,
0,24-Jul-11,23-Jul-12,95,1202,32000,1512.977,5000032558,1988,4,7,Pick-up,3000,TOYOTA,Own Goods,
0,24-Jul-13,23-Jul-14,95,1202,140400,2394.26,5000032559,2002,4,9,Pick-up,2892,FORD,Own Goods,4025
0,24-Jul-12,23-Jul-13,95,1202,140400,2394.26,5000032559,2002,4,9,Pick-up,2892,FORD,Own Goods,
0,24-Jul-11,23-Jul-12,95,1202,176000,2407.737,5000032559,2002,4,9,Pick-up,2892,FORD,Own Goods,
0,24-Jul-13,23-Jul-14,95,1202,25600,1086.91,5000032565,1986,1,10,Pick-up,3000,PEUGEOT,Own Goods,
0,24-Jul-12,23-Jul-13,95,1202,25600,1086.91,5000032565,1986,1,10,Pick-up,3000,PEUGEOT,Own Goods,
0,24-Jul-11,23-Jul-12,95,1202,32000,1088.758,5000032565,1986,1,10,Pick-up,3000,PEUGEOT,Own Goods,4945
0,08-Jul-13,07-Jul-14,94,1202,0,113.4,5000032584,1984,0,50,Tractor,0,TOMSON,Agricultural Own Farm,
0,08-Jul-12,07-Jul-13,94,1202,0,1001.78,5000032584,1984,0,50,Tractor,0,TOMSON,Agricultural Own Farm,
0,08-Jul-11,07-Jul-12,94,1202,0,527.245,5000032584,1984,0,50,Tractor,0,TOMSON,Agricultural Own Farm,
0,08-Jul-13,07-Jul-14,94,1202,0,113.4,5000032585,1984,1,7,Tractor,0,TOMSON,Agricultural Own Farm,
0,08-Jul-12,07-Jul-13,94,1202,0,690.28,5000032585,1984,1,7,Tractor,0,TOMSON,Agricultural Own Farm,
0,08-Jul-11,07-Jul-12,94,1202,0,527.245,5000032585,1984,1,7,Tractor,0,TOMSON,Agricultural Own Farm,
0,24-Jul-13,23-Jul-14,95,1202,233600,4396.99,5000032586,2008,14,14,Bus,2986,TOYOTA,Own service,
0,24-Jul-12,23-Jul-13,95,1202,233600,5189.62,5000032586,2008,14,14,Bus,2986,TOYOTA,Own service,
0,24-Jul-11,23-Jul-12,95,1202,292000,4519.339,5000032586,2008,14,14,Bus,2986,TOYOTA,Own service,10177.83
1,03-Aug-13,02-Aug-14,5/,1201,610103.85,6625.19,5000032312,1993,4,,Station Wagones,4164,TOYOTA,Private,
1,03-Aug-12,02-Aug-13,5,1201,762559.2,8769.08,5000032312,1993,4,,Station Wagones,4164,TOYOTA,Private,
1,03-Aug-11,02-Aug-12,5,1201,610103.85,7380.053,5000032312,1993,4,,Station Wagones,4164,TOYOTA,Private,
2,02-Aug-13,01-Aug-14,92,1201,0,541.95,5000032314,1969,4,,Automobile,1290,PEUGEOT,Private,
2,02-Aug-12,01-Aug-13,92,1201,0,577.7,5000032314,1969,4,,Automobile,1290,PEUGEOT,Private,
2,01-Aug-11,31-Jul-12,92,1201,0,691.154,5000032314,1969,4,,Automobile,1290,PEUGEOT,Private,
0,24-Jul-13,23-Jul-14,95,1202,58240,2197.49,5000032592,1998,11,11,Bus,1996,TOYOTA,Own service,
0,24-Jul-12,23-Jul-13,95,1202,58240,2276.75,5000032592,1998,11,11,Bus,1996,TOYOTA,Own service,
0,24-Jul-11,23-Jul-12,95,1202,72800,1993.979,5000032592,1998,11,11,Bus,1996,TOYOTA,Own service,
0,24-Jul-13,23-Jul-14,95,1202,192000,8128.23,5000032596,1986,44,44,Bus,3000,FIAT,Own service,
0,24-Jul-12,23-Jul-13,95,1202,192000,9333.13,5000032596,1986,44,44,Bus,3000,FIAT,Own service,
0,24-Jul-11,23-Jul-12,95,1202,240000,7780.608,5000032596,1986,44,44,Bus,3000,FIAT,Own service,
0,24-Jul-11,23-Jul-12,11,1202,0,1658.47,5000032597,1982,0,,Truck,11548,FIAT,General Cartage,
0,10-Aug-12,09-Aug-13,12,1202,198000,3903.17,5000032599,1983,2,140,Truck,11581,MERCEEDES,Own Goods,
0,24-Jul-11,23-Jul-12,99,1202,198000,4006.364,5000032599,1983,2,140,Truck,11581,MERCEEDES,Own Goods,
0,24-Jul-13,23-Jul-14,95,1202,490576.6,8711.46,5000032600,2007,61,61,Bus,3000,MERCEDES,Own service,8300
0,24-Jul-12,23-Jul-13,95,1202,490576.6,9101.53,5000032600,2007,61,61,Bus,3000,MERCEDES,Own service,
0,24-Jul-11,23-Jul-12,95,1202,613220,8820.836,5000032600,2007,61,61,Bus,3000,MERCEDES,Own service,
0,11-Aug-13,10-Aug-14,12,1202,0,4468.02,5000032602,1979,1,87,Truck,11548,FIAT,General Cartage,
0,10-Aug-12,09-Aug-13,12,1202,0,1985.65,5000032602,1979,1,87,Truck,11548,FIAT,General Cartage,
0,24-Jul-11,23-Jul-12,11,1202,0,3042.633,5000032602,1979,1,87,Truck,11548,FIAT,General Cartage,
